PM10,NO,NO2,NH3,SO2,CO,Ozone,PM2.5
216.7,9.38,10.1,6.9,127.23,0.38,30.87,0
158.41,8.96,10.11,6.91,122.06,0.35,41.41,0
132.64,9.74,9.96,6.8,95.36,0.31,34.46,0
165.37,11.62,10.38,6.96,127.3,0.36,27.98,0
217.71,8.88,8.86,6.77,94.63,0.27,30.66,0
101,8.19,8.9,6.79,109.67,0.33,29.38,0
130.24,8.18,9.13,6.82,108.04,0.36,30.59,0
189.42,8.61,8.86,6.9,90.26,0.39,21.62,0
224.19,8.64,9.12,6.87,113.7,0.31,24.55,0
256.22,13.47,12.75,6.81,114.63,0.33,22.55,0
358.14,15.21,12.6,6.98,136.46,0.35,25.35,0
304.8,9.61,10.77,6.81,124.57,0.35,20.92,0
165.8,9.61,10.14,6.81,116.99,0.37,16.82,0
143.3,9.97,9,6.76,122.94,0.14,3.89,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
290.3,8.48,7.39,7.25,132.04,0.07,58.97,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
298.45,10.14,6.38,0,110.29,0,22.2,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
125.87,6.83,7.53,6.45,0,0.13,32.8,0
541.9,8.23,7.84,6.52,0,0.23,4.23,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
164.57,0,0,0,0,0.77,44.1,0
80.09,7.72,8.22,6.69,93.58,0.37,34.95,0
28.88,7.68,8.19,6.73,84.13,0.4,7.08,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
150.69,7.56,7.57,6.81,0,0.32,25.99,0
114.81,7.67,8.23,6.74,35.92,0.52,21.11,0
42.53,8.66,7.36,6.88,34.43,0.23,2.03,0
0,0,0,0,0,0,0,0
127.01,8.98,9.47,7.01,83.53,0.33,35.54,0
139.87,10.3,10.46,6.92,121.58,0.47,30.16,0
146.75,11.34,11.31,6.23,142.21,0.39,13.62,0
46.94,8.75,10.09,6.45,158.25,1.12,24.69,0
0,10.69,12.24,7.04,0,0,39.86,0
59,9.75,5.69,8.14,28.27,0.47,39.91,0
0,7.49,6.65,7.54,0,0.47,57.72,0
407,9.24,4.73,7.37,0,0.34,21.46,0
76.4,7.64,6.71,6.97,140.43,0.34,23.72,0
0,6.34,6.81,6.67,0,0,25.86,0
46.77,6.75,6.07,6.66,138.17,0.54,41.38,0
46.7,0,0,0,0,0,45.32,0
44.36,5.91,6.46,6.58,96.26,0.49,40.95,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1.26,8.42,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,10.31,7.34,6.9,0,0.1,16.75,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,7.02,8.19,6.59,0,0,26.11,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
49.8,19.11,6.48,8.34,5.91,0.03,19.17,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
83.84,15.13,8.38,7.81,61.66,0.38,25.44,0
106.06,15.34,7.72,8,62.97,0.49,33.39,0
150.43,15.35,8.49,7.56,76.71,0.44,14.6,0
167.84,14.76,7.18,8.01,55.47,0.37,11.92,0
135.67,14.77,7.41,7.97,55.29,0.35,17.93,0
153.74,15.02,7.57,7.78,32.62,0.38,79.44,0
105.01,15.29,6.74,8.13,33.19,0.44,55.1,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,8.81,10.76,5.92,0,3.75,0,0
151.22,11.2,7.54,6.27,131.49,0.93,41.08,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
90.71,5.94,6.63,6.51,21.94,0.11,9.83,0
48.53,6.25,6.33,6.54,25.72,0.44,7.34,0
70.29,6.55,6.11,6.56,22.17,0.34,5.92,0
161.47,6.57,6.83,6.59,31.15,0.35,9.45,0
112.25,6.39,6.78,6.57,24.06,0.29,7.82,0
95.04,6.6,6.73,6.65,24.99,0.31,5.68,0
81.54,7.69,7.31,6.65,22.83,0.33,6.41,0
86.65,7.78,7.43,6.71,23.87,0.28,7.67,0
101.32,7.3,7.36,6.64,25.11,0.29,39.8,0
100.39,7.4,7.13,6.72,25.7,0.29,15.2,0
87.54,7.43,7.01,6.68,19.72,0.31,5.41,0
66.23,7.39,7.11,6.63,21.53,0.28,4.81,0
69.48,7.41,7.33,6.66,30.37,0.33,12.9,0
69.74,7.47,7.5,6.63,26.53,0.35,18.11,0
60.87,7.23,7.46,6.62,21.96,0.33,17.18,0
87.49,7.13,7.12,6.63,21.65,0.31,37.85,0
116.9,7.48,7.63,6.65,19.71,0.33,27.17,0
113.66,7.21,7.23,6.66,31.8,0.35,8.46,0
66.74,7.05,7.23,6.59,24.72,0.37,6,0
48.19,7.14,7.46,6.59,27.75,0.46,5.55,0
56.39,7.11,7.26,6.62,28.32,0.31,4.8,0
75.41,7.21,6.8,6.65,19.3,0.33,10.48,0
81.89,7,6.75,6.71,30.32,0.43,10.12,0
60.14,7.23,7.15,6.62,28.75,0.37,50.49,0
54.34,7.05,7.08,6.59,22.96,0.26,22.25,0
91.38,7.13,7,6.71,20.35,0.3,8.35,0
115.54,7.28,7.01,6.61,19.69,0.38,15.15,0
184.47,6.56,7.18,6.76,30.27,0.38,9.73,0
81.52,7.06,7.09,6.61,28.55,0.4,20.86,0
86.69,6.95,7.06,6.6,23.19,0.32,15.69,0
70.58,6.74,6.87,6.62,15.59,0.33,13.79,0
82.13,6.93,6.75,6.68,15.84,0.24,16.55,0
136.03,7.02,6.86,6.6,13.55,0.36,14.55,0
196.32,7.07,6.8,6.63,24.86,0.32,15.28,0
